dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,3.148091,4.810067,0.000306,0.012222,0.244444,4.888889,5.417608
0.050000,3.148091,4.810067,0.001528,0.036667,0.488889,4.888889,5.417549
0.050000,3.149216,4.808745,0.004278,0.073333,0.733333,4.888889,5.417417
0.050000,3.152384,4.805021,0.009167,0.122222,0.977778,4.888889,5.417184
0.050000,3.157332,4.799201,0.016806,0.183333,1.222222,4.888889,5.416823
0.050000,3.164453,4.790817,0.027806,0.256667,1.466667,4.888889,5.416311
0.050000,3.174139,4.779401,0.042778,0.342222,1.711111,4.888889,5.415628
0.050000,3.186779,4.764479,0.062333,0.440000,1.955556,4.888889,5.414762
0.050000,3.202759,4.745579,0.087083,0.550000,2.200000,4.888889,5.413707
0.050000,3.222262,4.722456,0.117333,0.660000,2.200000,0.000000,5.412479
0.050000,3.245277,4.695099,0.153083,0.770000,2.200000,-0.000000,5.411117
0.050000,3.271787,4.663496,0.194333,0.880000,2.200000,0.000000,5.409663
0.050000,3.301780,4.627635,0.241083,0.990000,2.200000,-0.000000,5.408169
0.050000,3.335241,4.587505,0.293333,1.100000,2.200000,0.000000,5.406693
0.050000,3.372160,4.543097,0.351083,1.210000,2.200000,0.000000,5.405298
0.050000,3.412531,4.494407,0.414333,1.320000,2.200000,0.000000,5.404055
0.050000,3.456353,4.441434,0.483083,1.430000,2.200000,-0.000000,5.403043
0.050000,3.503632,4.384181,0.557333,1.540000,2.200000,0.000000,5.402346
0.050000,3.554382,4.322663,0.637083,1.650000,2.200000,0.000000,5.402055
0.050000,3.608628,4.256899,0.722333,1.760000,2.200000,0.000000,5.402267
0.050000,3.666216,4.187158,0.812778,1.857778,1.955556,-4.888889,5.403085
0.050000,3.726807,4.113953,0.907806,1.943333,1.711111,-4.888889,5.404601
0.050000,3.790076,4.037808,1.006806,2.016667,1.466667,-4.888889,5.406897
0.050000,3.855706,3.959256,1.109167,2.077778,1.222222,-4.888889,5.410040
0.050000,3.923389,3.878835,1.214278,2.126667,0.977778,-4.888889,5.414081
0.050000,3.992817,3.797091,1.321528,2.163333,0.733333,-4.888889,5.419056
0.050000,4.063686,3.714566,1.430306,2.187778,0.488889,-4.888889,5.424980
0.050000,4.135682,3.631806,1.540000,2.200000,0.244444,-4.888889,5.431851
0.050000,4.208485,3.549346,1.650000,2.200000,0.000000,-4.888889,5.439644
0.050000,4.281966,3.467489,1.760000,2.200000,0.000000,0.000000,5.448340
0.050000,4.356192,3.386308,1.870000,2.200000,0.000000,0.000000,5.457936
0.050000,4.431230,3.305876,1.980000,2.200000,0.000000,0.000000,5.468429
0.050000,4.507143,3.226270,2.090000,2.200000,0.000000,0.000000,5.479813
0.050000,4.583992,3.147568,2.200000,2.200000,0.000000,0.000000,5.492078
0.050000,4.661834,3.069848,2.310000,2.200000,0.000000,0.000000,5.505215
0.050000,4.740724,2.993192,2.420000,2.200000,0.000000,0.000000,5.519210
0.050000,4.820710,2.917680,2.530000,2.200000,0.000000,0.000000,5.534044
0.050000,4.900579,2.846354,2.640000,2.200000,0.000000,0.000000,5.578512
0.050000,4.986087,2.777172,2.750000,2.200000,0.000000,0.000000,5.626862
0.050000,5.074734,2.712059,2.860000,2.200000,0.000000,0.000000,5.671847
0.050000,5.166104,2.650824,2.970000,2.200000,0.000000,0.000000,5.712989
0.050000,5.259799,2.593205,3.080000,2.200000,0.000000,0.000000,5.749954
0.050000,5.355441,2.538878,3.190000,2.200000,0.000000,0.000000,5.782537
0.050000,5.452690,2.487478,3.300000,2.200000,0.000000,0.000000,5.810634
